mcline2.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
153
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 119.28 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 91.86 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 88.98 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 77.34 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 78.24 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 80.77 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 81.10 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 91.36 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 89.81 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 126.82 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 110.58 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 92.36 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 93.12 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 93.26 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 96.10 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 106.38 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 105.06 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 116.13 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 122.38 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 98.18 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 86.29 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 87.24 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 77.59 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 89.86 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 81.89 
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 102.13 
4  2.00  0.00 3.00  0.00 12.00  0.00 13.00  0.00 84.82 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 109.41 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 93.93 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 91.74 
4  3.00  0.00 4.00  0.00 8.00  0.00 9.00  0.00 85.42 
4  3.00  0.00 4.00  0.00 9.00  0.00 10.00  0.00 97.05 
4  3.00  0.00 4.00  0.00 10.00  0.00 11.00  0.00 85.78 
4  3.00  0.00 4.00  0.00 11.00  0.00 12.00  0.00 100.93 
4  3.00  0.00 4.00  0.00 12.00  0.00 13.00  0.00 94.16 
4  3.00  0.00 4.00  0.00 13.00  0.00 14.00  0.00 111.62 
4  4.00  0.00 5.00  0.00 6.00  0.00 7.00  0.00 112.49 
4  4.00  0.00 5.00  0.00 7.00  0.00 8.00  0.00 106.35 
4  4.00  0.00 5.00  0.00 8.00  0.00 9.00  0.00 89.42 
4  4.00  0.00 5.00  0.00 9.00  0.00 10.00  0.00 104.35 
4  4.00  0.00 5.00  0.00 10.00  0.00 11.00  0.00 92.62 
4  4.00  0.00 5.00  0.00 11.00  0.00 12.00  0.00 106.98 
4  4.00  0.00 5.00  0.00 12.00  0.00 13.00  0.00 96.40 
4  4.00  0.00 5.00  0.00 13.00  0.00 14.00  0.00 92.20 
4  4.00  0.00 5.00  0.00 14.00  0.00 15.00  0.00 102.64 
4  5.00  0.00 6.00  0.00 7.00  0.00 8.00  0.00 97.01 
4  5.00  0.00 6.00  0.00 8.00  0.00 9.00  0.00 84.29 
4  5.00  0.00 6.00  0.00 9.00  0.00 10.00  0.00 97.48 
4  5.00  0.00 6.00  0.00 10.00  0.00 11.00  0.00 82.79 
4  5.00  0.00 6.00  0.00 11.00  0.00 12.00  0.00 96.98 
4  5.00  0.00 6.00  0.00 12.00  0.00 13.00  0.00 82.29 
4  5.00  0.00 6.00  0.00 13.00  0.00 14.00  0.00 89.61 
4  5.00  0.00 6.00  0.00 14.00  0.00 15.00  0.00 84.63 
4  5.00  0.00 6.00  0.00 15.00  0.00 16.00  0.00 88.39 
4  6.00  0.00 7.00  0.00 8.00  0.00 9.00  0.00 88.66 
4  6.00  0.00 7.00  0.00 9.00  0.00 10.00  0.00 116.34 
4  6.00  0.00 7.00  0.00 10.00  0.00 11.00  0.00 87.36 
4  6.00  0.00 7.00  0.00 11.00  0.00 12.00  0.00 100.03 
4  6.00  0.00 7.00  0.00 12.00  0.00 13.00  0.00 84.26 
4  6.00  0.00 7.00  0.00 13.00  0.00 14.00  0.00 83.46 
4  6.00  0.00 7.00  0.00 14.00  0.00 15.00  0.00 87.33 
4  6.00  0.00 7.00  0.00 15.00  0.00 16.00  0.00 70.72 
4  6.00  0.00 7.00  0.00 16.00  0.00 17.00  0.00 67.26 
4  7.00  0.00 8.00  0.00 9.00  0.00 10.00  0.00 111.66 
4  7.00  0.00 8.00  0.00 10.00  0.00 11.00  0.00 98.18 
4  7.00  0.00 8.00  0.00 11.00  0.00 12.00  0.00 108.42 
4  7.00  0.00 8.00  0.00 12.00  0.00 13.00  0.00 94.35 
4  7.00  0.00 8.00  0.00 13.00  0.00 14.00  0.00 93.76 
4  7.00  0.00 8.00  0.00 14.00  0.00 15.00  0.00 96.73 
4  7.00  0.00 8.00  0.00 15.00  0.00 16.00  0.00 78.50 
4  7.00  0.00 8.00  0.00 16.00  0.00 17.00  0.00 83.83 
4  7.00  0.00 8.00  0.00 17.00  0.00 18.00  0.00 64.62 
4  8.00  0.00 9.00  0.00 10.00  0.00 11.00  0.00 114.02 
4  8.00  0.00 9.00  0.00 11.00  0.00 12.00  0.00 114.79 
4  8.00  0.00 9.00  0.00 12.00  0.00 13.00  0.00 95.97 
4  8.00  0.00 9.00  0.00 13.00  0.00 14.00  0.00 91.91 
4  8.00  0.00 9.00  0.00 14.00  0.00 15.00  0.00 91.40 
4  8.00  0.00 9.00  0.00 15.00  0.00 16.00  0.00 75.41 
4  8.00  0.00 9.00  0.00 16.00  0.00 17.00  0.00 78.42 
4  8.00  0.00 9.00  0.00 17.00  0.00 18.00  0.00 76.54 
4  8.00  0.00 9.00  0.00 18.00  0.00 19.00  0.00 76.44 
4  9.00  0.00 10.00  0.00 11.00  0.00 12.00  0.00 139.47 
4  9.00  0.00 10.00  0.00 12.00  0.00 13.00  0.00 108.69 
4  9.00  0.00 10.00  0.00 13.00  0.00 14.00  0.00 108.34 
4  9.00  0.00 10.00  0.00 14.00  0.00 15.00  0.00 113.24 
4  9.00  0.00 10.00  0.00 15.00  0.00 16.00  0.00 90.50 
4  9.00  0.00 10.00  0.00 16.00  0.00 17.00  0.00 96.87 
4  9.00  0.00 10.00  0.00 17.00  0.00 18.00  0.00 79.80 
4  9.00  0.00 10.00  0.00 18.00  0.00 19.00  0.00 84.08 
4  9.00  0.00 10.00  0.00 19.00  0.00 20.00  0.00 72.74 
4  10.00  0.00 11.00  0.00 12.00  0.00 13.00  0.00 97.48 
4  10.00  0.00 11.00  0.00 13.00  0.00 14.00  0.00 96.60 
4  10.00  0.00 11.00  0.00 14.00  0.00 15.00  0.00 103.62 
4  10.00  0.00 11.00  0.00 15.00  0.00 16.00  0.00 86.54 
4  10.00  0.00 11.00  0.00 16.00  0.00 17.00  0.00 95.75 
4  10.00  0.00 11.00  0.00 17.00  0.00 18.00  0.00 73.24 
4  10.00  0.00 11.00  0.00 18.00  0.00 19.00  0.00 79.50 
4  10.00  0.00 11.00  0.00 19.00  0.00 20.00  0.00 70.45 
4  10.00  0.00 11.00  0.00 20.00  0.00 21.00  0.00 82.56 
4  11.00  0.00 12.00  0.00 13.00  0.00 14.00  0.00 106.79 
4  11.00  0.00 12.00  0.00 14.00  0.00 15.00  0.00 117.42 
4  11.00  0.00 12.00  0.00 15.00  0.00 16.00  0.00 101.51 
4  11.00  0.00 12.00  0.00 16.00  0.00 17.00  0.00 106.37 
4  11.00  0.00 12.00  0.00 17.00  0.00 18.00  0.00 93.96 
4  11.00  0.00 12.00  0.00 18.00  0.00 19.00  0.00 96.20 
4  11.00  0.00 12.00  0.00 19.00  0.00 20.00  0.00 94.99 
4  11.00  0.00 12.00  0.00 20.00  0.00 21.00  0.00 101.81 
4  11.00  0.00 12.00  0.00 21.00  0.00 22.00  0.00 115.46 
4  12.00  0.00 13.00  0.00 14.00  0.00 15.00  0.00 114.30 
4  12.00  0.00 13.00  0.00 15.00  0.00 16.00  0.00 88.67 
4  12.00  0.00 13.00  0.00 16.00  0.00 17.00  0.00 91.98 
4  12.00  0.00 13.00  0.00 17.00  0.00 18.00  0.00 79.30 
4  12.00  0.00 13.00  0.00 18.00  0.00 19.00  0.00 89.66 
4  12.00  0.00 13.00  0.00 19.00  0.00 20.00  0.00 80.89 
4  12.00  0.00 13.00  0.00 20.00  0.00 21.00  0.00 79.24 
4  12.00  0.00 13.00  0.00 21.00  0.00 22.00  0.00 84.76 
4  12.00  0.00 13.00  0.00 22.00  0.00 23.00  0.00 102.69 
4  13.00  0.00 14.00  0.00 15.00  0.00 16.00  0.00 113.60 
4  13.00  0.00 14.00  0.00 16.00  0.00 17.00  0.00 99.48 
4  13.00  0.00 14.00  0.00 17.00  0.00 18.00  0.00 80.56 
4  13.00  0.00 14.00  0.00 18.00  0.00 19.00  0.00 88.58 
4  13.00  0.00 14.00  0.00 19.00  0.00 20.00  0.00 80.08 
4  13.00  0.00 14.00  0.00 20.00  0.00 21.00  0.00 83.05 
4  13.00  0.00 14.00  0.00 21.00  0.00 22.00  0.00 90.18 
4  13.00  0.00 14.00  0.00 22.00  0.00 23.00  0.00 1015.56 
4  14.00  0.00 15.00  0.00 16.00  0.00 17.00  0.00 132.18 
4  14.00  0.00 15.00  0.00 17.00  0.00 18.00  0.00 89.61 
4  14.00  0.00 15.00  0.00 18.00  0.00 19.00  0.00 86.68 
4  14.00  0.00 15.00  0.00 19.00  0.00 20.00  0.00 84.97 
4  14.00  0.00 15.00  0.00 20.00  0.00 21.00  0.00 86.17 
4  14.00  0.00 15.00  0.00 21.00  0.00 22.00  0.00 93.16 
4  14.00  0.00 15.00  0.00 22.00  0.00 23.00  0.00 951.16 
4  15.00  0.00 16.00  0.00 17.00  0.00 18.00  0.00 106.40 
4  15.00  0.00 16.00  0.00 18.00  0.00 19.00  0.00 80.15 
4  15.00  0.00 16.00  0.00 19.00  0.00 20.00  0.00 80.95 
4  15.00  0.00 16.00  0.00 20.00  0.00 21.00  0.00 77.00 
4  15.00  0.00 16.00  0.00 21.00  0.00 22.00  0.00 76.76 
4  15.00  0.00 16.00  0.00 22.00  0.00 23.00  0.00 103.07 
4  16.00  0.00 17.00  0.00 18.00  0.00 19.00  0.00 131.86 
4  16.00  0.00 17.00  0.00 19.00  0.00 20.00  0.00 113.09 
4  16.00  0.00 17.00  0.00 20.00  0.00 21.00  0.00 101.04 
4  16.00  0.00 17.00  0.00 21.00  0.00 22.00  0.00 95.30 
4  16.00  0.00 17.00  0.00 22.00  0.00 23.00  0.00 93.81 
4  17.00  0.00 18.00  0.00 19.00  0.00 20.00  0.00 127.69 
4  17.00  0.00 18.00  0.00 20.00  0.00 21.00  0.00 114.94 
4  17.00  0.00 18.00  0.00 21.00  0.00 22.00  0.00 100.60 
4  17.00  0.00 18.00  0.00 22.00  0.00 23.00  0.00 86.30 
4  18.00  0.00 19.00  0.00 20.00  0.00 21.00  0.00 134.67 
4  18.00  0.00 19.00  0.00 21.00  0.00 22.00  0.00 125.47 
4  18.00  0.00 19.00  0.00 22.00  0.00 23.00  0.00 95.81 
4  19.00  0.00 20.00  0.00 21.00  0.00 22.00  0.00 139.50 
4  19.00  0.00 20.00  0.00 22.00  0.00 23.00  0.00 106.04 
4  20.00  0.00 21.00  0.00 22.00  0.00 23.00  0.00 117.94 
0
0
0
0
