mcline5.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
153
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 127.96 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 119.71 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 98.22 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 84.30 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 80.08 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 78.16 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 70.62 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 59.36 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 66.01 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 135.06 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 107.92 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 85.06 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 79.17 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 76.35 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 69.84 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 48.46 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 59.67 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 53.56 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 128.17 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 92.73 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 79.74 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 76.15 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 67.47 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 58.28 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 50.06 
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 45.05 
4  2.00  0.00 3.00  0.00 12.00  0.00 13.00  0.00 38.47 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 116.46 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 90.00 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 79.41 
4  3.00  0.00 4.00  0.00 8.00  0.00 9.00  0.00 69.39 
4  3.00  0.00 4.00  0.00 9.00  0.00 10.00  0.00 59.97 
4  3.00  0.00 4.00  0.00 10.00  0.00 11.00  0.00 55.38 
4  3.00  0.00 4.00  0.00 11.00  0.00 12.00  0.00 49.47 
4  3.00  0.00 4.00  0.00 12.00  0.00 13.00  0.00 51.73 
4  3.00  0.00 4.00  0.00 13.00  0.00 14.00  0.00 45.11 
4  4.00  0.00 5.00  0.00 6.00  0.00 7.00  0.00 108.79 
4  4.00  0.00 5.00  0.00 7.00  0.00 8.00  0.00 81.64 
4  4.00  0.00 5.00  0.00 8.00  0.00 9.00  0.00 64.46 
4  4.00  0.00 5.00  0.00 9.00  0.00 10.00  0.00 52.55 
4  4.00  0.00 5.00  0.00 10.00  0.00 11.00  0.00 49.01 
4  4.00  0.00 5.00  0.00 11.00  0.00 12.00  0.00 46.65 
4  4.00  0.00 5.00  0.00 12.00  0.00 13.00  0.00 36.37 
4  4.00  0.00 5.00  0.00 13.00  0.00 14.00  0.00 37.89 
4  4.00  0.00 5.00  0.00 14.00  0.00 15.00  0.00 40.58 
4  5.00  0.00 6.00  0.00 7.00  0.00 8.00  0.00 107.16 
4  5.00  0.00 6.00  0.00 8.00  0.00 9.00  0.00 65.19 
4  5.00  0.00 6.00  0.00 9.00  0.00 10.00  0.00 48.53 
4  5.00  0.00 6.00  0.00 10.00  0.00 11.00  0.00 42.15 
4  5.00  0.00 6.00  0.00 11.00  0.00 12.00  0.00 38.63 
4  5.00  0.00 6.00  0.00 12.00  0.00 13.00  0.00 36.48 
4  5.00  0.00 6.00  0.00 13.00  0.00 14.00  0.00 36.38 
4  5.00  0.00 6.00  0.00 14.00  0.00 15.00  0.00 35.31 
4  5.00  0.00 6.00  0.00 15.00  0.00 16.00  0.00 33.37 
4  6.00  0.00 7.00  0.00 8.00  0.00 9.00  0.00 91.88 
4  6.00  0.00 7.00  0.00 9.00  0.00 10.00  0.00 52.70 
4  6.00  0.00 7.00  0.00 10.00  0.00 11.00  0.00 38.85 
4  6.00  0.00 7.00  0.00 11.00  0.00 12.00  0.00 35.18 
4  6.00  0.00 7.00  0.00 12.00  0.00 13.00  0.00 29.25 
4  6.00  0.00 7.00  0.00 13.00  0.00 14.00  0.00 26.66 
4  6.00  0.00 7.00  0.00 14.00  0.00 15.00  0.00 35.26 
4  6.00  0.00 7.00  0.00 15.00  0.00 16.00  0.00 34.16 
4  6.00  0.00 7.00  0.00 16.00  0.00 17.00  0.00 38.90 
4  7.00  0.00 8.00  0.00 9.00  0.00 10.00  0.00 88.82 
4  7.00  0.00 8.00  0.00 10.00  0.00 11.00  0.00 49.24 
4  7.00  0.00 8.00  0.00 11.00  0.00 12.00  0.00 34.61 
4  7.00  0.00 8.00  0.00 12.00  0.00 13.00  0.00 29.39 
4  7.00  0.00 8.00  0.00 13.00  0.00 14.00  0.00 26.30 
4  7.00  0.00 8.00  0.00 14.00  0.00 15.00  0.00 25.45 
4  7.00  0.00 8.00  0.00 15.00  0.00 16.00  0.00 24.76 
4  7.00  0.00 8.00  0.00 16.00  0.00 17.00  0.00 6.96 
4  7.00  0.00 8.00  0.00 17.00  0.00 18.00  0.00 40.03 
4  8.00  0.00 9.00  0.00 10.00  0.00 11.00  0.00 88.90 
4  8.00  0.00 9.00  0.00 11.00  0.00 12.00  0.00 45.13 
4  8.00  0.00 9.00  0.00 12.00  0.00 13.00  0.00 28.15 
4  8.00  0.00 9.00  0.00 13.00  0.00 14.00  0.00 22.21 
4  8.00  0.00 9.00  0.00 14.00  0.00 15.00  0.00 18.51 
4  8.00  0.00 9.00  0.00 15.00  0.00 16.00  0.00 18.86 
4  8.00  0.00 9.00  0.00 16.00  0.00 17.00  0.00 22.30 
4  8.00  0.00 9.00  0.00 17.00  0.00 18.00  0.00 23.96 
4  8.00  0.00 9.00  0.00 18.00  0.00 19.00  0.00 33.03 
4  9.00  0.00 10.00  0.00 11.00  0.00 12.00  0.00 97.17 
4  9.00  0.00 10.00  0.00 12.00  0.00 13.00  0.00 42.64 
4  9.00  0.00 10.00  0.00 13.00  0.00 14.00  0.00 21.34 
4  9.00  0.00 10.00  0.00 14.00  0.00 15.00  0.00 19.69 
4  9.00  0.00 10.00  0.00 15.00  0.00 16.00  0.00 17.14 
4  9.00  0.00 10.00  0.00 16.00  0.00 17.00  0.00 14.59 
4  9.00  0.00 10.00  0.00 17.00  0.00 18.00  0.00 19.52 
4  9.00  0.00 10.00  0.00 18.00  0.00 19.00  0.00 23.81 
4  9.00  0.00 10.00  0.00 19.00  0.00 20.00  0.00 32.74 
4  10.00  0.00 11.00  0.00 12.00  0.00 13.00  0.00 95.73 
4  10.00  0.00 11.00  0.00 13.00  0.00 14.00  0.00 33.90 
4  10.00  0.00 11.00  0.00 14.00  0.00 15.00  0.00 17.84 
4  10.00  0.00 11.00  0.00 15.00  0.00 16.00  0.00 16.35 
4  10.00  0.00 11.00  0.00 16.00  0.00 17.00  0.00 13.91 
4  10.00  0.00 11.00  0.00 17.00  0.00 18.00  0.00 18.18 
4  10.00  0.00 11.00  0.00 18.00  0.00 19.00  0.00 8.95 
4  10.00  0.00 11.00  0.00 19.00  0.00 20.00  0.00 28.87 
4  10.00  0.00 11.00  0.00 20.00  0.00 21.00  0.00 6.10 
4  11.00  0.00 12.00  0.00 13.00  0.00 14.00  0.00 77.44 
4  11.00  0.00 12.00  0.00 14.00  0.00 15.00  0.00 28.71 
4  11.00  0.00 12.00  0.00 15.00  0.00 16.00  0.00 17.09 
4  11.00  0.00 12.00  0.00 16.00  0.00 17.00  0.00 13.86 
4  11.00  0.00 12.00  0.00 17.00  0.00 18.00  0.00 12.28 
4  11.00  0.00 12.00  0.00 18.00  0.00 19.00  0.00 14.67 
4  11.00  0.00 12.00  0.00 19.00  0.00 20.00  0.00 14.86 
4  11.00  0.00 12.00  0.00 20.00  0.00 21.00  0.00 17.82 
4  11.00  0.00 12.00  0.00 21.00  0.00 22.00  0.00 24.53 
4  12.00  0.00 13.00  0.00 14.00  0.00 15.00  0.00 79.30 
4  12.00  0.00 13.00  0.00 15.00  0.00 16.00  0.00 33.13 
4  12.00  0.00 13.00  0.00 16.00  0.00 17.00  0.00 19.17 
4  12.00  0.00 13.00  0.00 17.00  0.00 18.00  0.00 13.55 
4  12.00  0.00 13.00  0.00 18.00  0.00 19.00  0.00 13.96 
4  12.00  0.00 13.00  0.00 19.00  0.00 20.00  0.00 16.24 
4  12.00  0.00 13.00  0.00 20.00  0.00 21.00  0.00 12.75 
4  12.00  0.00 13.00  0.00 21.00  0.00 22.00  0.00 19.65 
4  12.00  0.00 13.00  0.00 22.00  0.00 23.00  0.00 19.88 
4  13.00  0.00 14.00  0.00 15.00  0.00 16.00  0.00 102.55 
4  13.00  0.00 14.00  0.00 16.00  0.00 17.00  0.00 47.44 
4  13.00  0.00 14.00  0.00 17.00  0.00 18.00  0.00 26.22 
4  13.00  0.00 14.00  0.00 18.00  0.00 19.00  0.00 14.00 
4  13.00  0.00 14.00  0.00 19.00  0.00 20.00  0.00 15.09 
4  13.00  0.00 14.00  0.00 20.00  0.00 21.00  0.00 13.39 
4  13.00  0.00 14.00  0.00 21.00  0.00 22.00  0.00 10.04 
4  13.00  0.00 14.00  0.00 22.00  0.00 23.00  0.00 18.35 
4  14.00  0.00 15.00  0.00 16.00  0.00 17.00  0.00 110.92 
4  14.00  0.00 15.00  0.00 17.00  0.00 18.00  0.00 59.32 
4  14.00  0.00 15.00  0.00 18.00  0.00 19.00  0.00 29.64 
4  14.00  0.00 15.00  0.00 19.00  0.00 20.00  0.00 19.80 
4  14.00  0.00 15.00  0.00 20.00  0.00 21.00  0.00 13.62 
