mcline4.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
153
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 151.72 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 127.74 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 98.22 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 84.11 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 75.33 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 73.46 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 60.66 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 57.76 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 53.15 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 162.36 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 119.70 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 90.55 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 76.83 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 74.17 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 67.36 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 59.07 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 60.19 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 54.40 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 150.05 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 102.40 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 79.28 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 73.02 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 64.78 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 52.47 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 50.73 
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 59.21 
4  2.00  0.00 3.00  0.00 12.00  0.00 13.00  0.00 52.62 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 139.90 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 96.16 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 79.14 
