mcline5.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
153
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 127.73 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 108.45 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 88.31 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 76.51 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 75.83 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 73.32 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 72.22 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 50.90 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 60.51 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 128.28 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 98.30 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 77.79 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 73.72 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 71.80 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 66.95 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 56.73 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 59.64 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 52.92 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 121.26 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 82.09 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 74.05 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 70.84 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 67.96 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 57.00 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 56.36 
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 56.04 
4  2.00  0.00 3.00  0.00 12.00  0.00 13.00  0.00 40.65 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 109.27 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 79.92 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 70.63 
4  3.00  0.00 4.00  0.00 8.00  0.00 9.00  0.00 69.59 
4  3.00  0.00 4.00  0.00 9.00  0.00 10.00  0.00 55.62 
4  3.00  0.00 4.00  0.00 10.00  0.00 11.00  0.00 56.44 
4  3.00  0.00 4.00  0.00 11.00  0.00 12.00  0.00 48.50 
4  3.00  0.00 4.00  0.00 12.00  0.00 13.00  0.00 31.25 
4  3.00  0.00 4.00  0.00 13.00  0.00 14.00  0.00 25.06 
4  4.00  0.00 5.00  0.00 6.00  0.00 7.00  0.00 101.62 
4  4.00  0.00 5.00  0.00 7.00  0.00 8.00  0.00 69.06 
4  4.00  0.00 5.00  0.00 8.00  0.00 9.00  0.00 61.91 
4  4.00  0.00 5.00  0.00 9.00  0.00 10.00  0.00 49.96 
4  4.00  0.00 5.00  0.00 10.00  0.00 11.00  0.00 46.14 
4  4.00  0.00 5.00  0.00 11.00  0.00 12.00  0.00 48.89 
4  4.00  0.00 5.00  0.00 12.00  0.00 13.00  0.00 46.12 
4  4.00  0.00 5.00  0.00 13.00  0.00 14.00  0.00 46.04 
4  4.00  0.00 5.00  0.00 14.00  0.00 15.00  0.00 56.06 
4  5.00  0.00 6.00  0.00 7.00  0.00 8.00  0.00 99.55 
4  5.00  0.00 6.00  0.00 8.00  0.00 9.00  0.00 60.13 
4  5.00  0.00 6.00  0.00 9.00  0.00 10.00  0.00 43.81 
4  5.00  0.00 6.00  0.00 10.00  0.00 11.00  0.00 42.52 
4  5.00  0.00 6.00  0.00 11.00  0.00 12.00  0.00 37.29 
4  5.00  0.00 6.00  0.00 12.00  0.00 13.00  0.00 36.52 
4  5.00  0.00 6.00  0.00 13.00  0.00 14.00  0.00 28.80 
4  5.00  0.00 6.00  0.00 14.00  0.00 15.00  0.00 38.75 
4  5.00  0.00 6.00  0.00 15.00  0.00 16.00  0.00 13.04 
4  6.00  0.00 7.00  0.00 8.00  0.00 9.00  0.00 89.45 
4  6.00  0.00 7.00  0.00 9.00  0.00 10.00  0.00 44.95 
4  6.00  0.00 7.00  0.00 10.00  0.00 11.00  0.00 36.26 
4  6.00  0.00 7.00  0.00 11.00  0.00 12.00  0.00 33.93 
4  6.00  0.00 7.00  0.00 12.00  0.00 13.00  0.00 31.74 
4  6.00  0.00 7.00  0.00 13.00  0.00 14.00  0.00 33.57 
4  6.00  0.00 7.00  0.00 14.00  0.00 15.00  0.00 30.17 
4  6.00  0.00 7.00  0.00 15.00  0.00 16.00  0.00 21.35 
4  6.00  0.00 7.00  0.00 16.00  0.00 17.00  0.00 26.09 
4  7.00  0.00 8.00  0.00 9.00  0.00 10.00  0.00 80.03 
4  7.00  0.00 8.00  0.00 10.00  0.00 11.00  0.00 43.76 
4  7.00  0.00 8.00  0.00 11.00  0.00 12.00  0.00 32.19 
4  7.00  0.00 8.00  0.00 12.00  0.00 13.00  0.00 25.43 
4  7.00  0.00 8.00  0.00 13.00  0.00 14.00  0.00 19.95 
4  7.00  0.00 8.00  0.00 14.00  0.00 15.00  0.00 22.80 
4  7.00  0.00 8.00  0.00 15.00  0.00 16.00  0.00 10.76 
4  7.00  0.00 8.00  0.00 16.00  0.00 17.00  0.00 20.50 
4  7.00  0.00 8.00  0.00 17.00  0.00 18.00  0.00 17.57 
4  8.00  0.00 9.00  0.00 10.00  0.00 11.00  0.00 91.52 
4  8.00  0.00 9.00  0.00 11.00  0.00 12.00  0.00 41.46 
4  8.00  0.00 9.00  0.00 12.00  0.00 13.00  0.00 25.24 
4  8.00  0.00 9.00  0.00 13.00  0.00 14.00  0.00 21.32 
4  8.00  0.00 9.00  0.00 14.00  0.00 15.00  0.00 11.27 
4  8.00  0.00 9.00  0.00 15.00  0.00 16.00  0.00 16.18 
4  8.00  0.00 9.00  0.00 16.00  0.00 17.00  0.00 11.52 
4  8.00  0.00 9.00  0.00 17.00  0.00 18.00  0.00 28.72 
4  8.00  0.00 9.00  0.00 18.00  0.00 19.00  0.00 29.76 
4  9.00  0.00 10.00  0.00 11.00  0.00 12.00  0.00 101.34 
4  9.00  0.00 10.00  0.00 12.00  0.00 13.00  0.00 34.10 
4  9.00  0.00 10.00  0.00 13.00  0.00 14.00  0.00 19.47 
4  9.00  0.00 10.00  0.00 14.00  0.00 15.00  0.00 13.34 
4  9.00  0.00 10.00  0.00 15.00  0.00 16.00  0.00 13.37 
4  9.00  0.00 10.00  0.00 16.00  0.00 17.00  0.00 12.56 
4  9.00  0.00 10.00  0.00 17.00  0.00 18.00  0.00 3.00 
4  9.00  0.00 10.00  0.00 18.00  0.00 19.00  0.00 8.27 
4  9.00  0.00 10.00  0.00 19.00  0.00 20.00  0.00 13.14 
4  10.00  0.00 11.00  0.00 12.00  0.00 13.00  0.00 101.56 
4  10.00  0.00 11.00  0.00 13.00  0.00 14.00  0.00 27.73 
