mcline4.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
153
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 126.30 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 95.33 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 59.74 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 37.04 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 29.06 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 19.08 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 20.62 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 15.46 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 19.41 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 112.66 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 80.50 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 48.27 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 32.10 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 18.92 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 19.31 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 9.58 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 13.87 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 18.30 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 116.75 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 78.88 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 50.17 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 30.08 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 23.41 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 14.29 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 15.53 
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 27.59 
4  2.00  0.00 3.00  0.00 12.00  0.00 13.00  0.00 11.47 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 117.76 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 76.65 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 42.06 
4  3.00  0.00 4.00  0.00 8.00  0.00 9.00  0.00 28.14 
4  3.00  0.00 4.00  0.00 9.00  0.00 10.00  0.00 17.95 
4  3.00  0.00 4.00  0.00 10.00  0.00 11.00  0.00 13.65 
4  3.00  0.00 4.00  0.00 11.00  0.00 12.00  0.00 9.07 
4  3.00  0.00 4.00  0.00 12.00  0.00 13.00  0.00 15.14 
4  3.00  0.00 4.00  0.00 13.00  0.00 14.00  0.00 34.96 
4  4.00  0.00 5.00  0.00 6.00  0.00 7.00  0.00 125.78 
4  4.00  0.00 5.00  0.00 7.00  0.00 8.00  0.00 66.29 
4  4.00  0.00 5.00  0.00 8.00  0.00 9.00  0.00 41.15 
4  4.00  0.00 5.00  0.00 9.00  0.00 10.00  0.00 23.29 
4  4.00  0.00 5.00  0.00 10.00  0.00 11.00  0.00 16.99 
4  4.00  0.00 5.00  0.00 11.00  0.00 12.00  0.00 15.15 
4  4.00  0.00 5.00  0.00 12.00  0.00 13.00  0.00 14.37 
4  4.00  0.00 5.00  0.00 13.00  0.00 14.00  0.00 14.49 
4  4.00  0.00 5.00  0.00 14.00  0.00 15.00  0.00 24.04 
4  5.00  0.00 6.00  0.00 7.00  0.00 8.00  0.00 109.36 
4  5.00  0.00 6.00  0.00 8.00  0.00 9.00  0.00 65.66 
4  5.00  0.00 6.00  0.00 9.00  0.00 10.00  0.00 32.87 
4  5.00  0.00 6.00  0.00 10.00  0.00 11.00  0.00 22.70 
4  5.00  0.00 6.00  0.00 11.00  0.00 12.00  0.00 14.28 
4  5.00  0.00 6.00  0.00 12.00  0.00 13.00  0.00 16.33 
4  5.00  0.00 6.00  0.00 13.00  0.00 14.00  0.00 15.04 
4  5.00  0.00 6.00  0.00 14.00  0.00 15.00  0.00 25.52 
4  5.00  0.00 6.00  0.00 15.00  0.00 16.00  0.00 2.66 
4  6.00  0.00 7.00  0.00 8.00  0.00 9.00  0.00 134.68 
4  6.00  0.00 7.00  0.00 9.00  0.00 10.00  0.00 63.56 
4  6.00  0.00 7.00  0.00 10.00  0.00 11.00  0.00 37.41 
4  6.00  0.00 7.00  0.00 11.00  0.00 12.00  0.00 22.74 
4  6.00  0.00 7.00  0.00 12.00  0.00 13.00  0.00 20.12 
4  6.00  0.00 7.00  0.00 13.00  0.00 14.00  0.00 14.07 
4  6.00  0.00 7.00  0.00 14.00  0.00 15.00  0.00 16.18 
4  6.00  0.00 7.00  0.00 15.00  0.00 16.00  0.00 8.88 
4  6.00  0.00 7.00  0.00 16.00  0.00 17.00  0.00 36.02 
4  7.00  0.00 8.00  0.00 9.00  0.00 10.00  0.00 122.17 
4  7.00  0.00 8.00  0.00 10.00  0.00 11.00  0.00 72.27 
4  7.00  0.00 8.00  0.00 11.00  0.00 12.00  0.00 36.75 
4  7.00  0.00 8.00  0.00 12.00  0.00 13.00  0.00 23.00 
4  7.00  0.00 8.00  0.00 13.00  0.00 14.00  0.00 12.85 
4  7.00  0.00 8.00  0.00 14.00  0.00 15.00  0.00 12.03 
4  7.00  0.00 8.00  0.00 15.00  0.00 16.00  0.00 11.20 
4  7.00  0.00 8.00  0.00 16.00  0.00 17.00  0.00 33.04 
4  7.00  0.00 8.00  0.00 17.00  0.00 18.00  0.00 28.45 
4  8.00  0.00 9.00  0.00 10.00  0.00 11.00  0.00 154.32 
4  8.00  0.00 9.00  0.00 11.00  0.00 12.00  0.00 85.54 
4  8.00  0.00 9.00  0.00 12.00  0.00 13.00  0.00 44.84 
4  8.00  0.00 9.00  0.00 13.00  0.00 14.00  0.00 24.92 
4  8.00  0.00 9.00  0.00 14.00  0.00 15.00  0.00 21.47 
4  8.00  0.00 9.00  0.00 15.00  0.00 16.00  0.00 18.87 
4  8.00  0.00 9.00  0.00 16.00  0.00 17.00  0.00 24.88 
4  8.00  0.00 9.00  0.00 17.00  0.00 18.00  0.00 34.74 
4  8.00  0.00 9.00  0.00 18.00  0.00 19.00  0.00 44.06 
4  9.00  0.00 10.00  0.00 11.00  0.00 12.00  0.00 141.40 
4  9.00  0.00 10.00  0.00 12.00  0.00 13.00  0.00 87.34 
4  9.00  0.00 10.00  0.00 13.00  0.00 14.00  0.00 40.12 
4  9.00  0.00 10.00  0.00 14.00  0.00 15.00  0.00 26.46 
4  9.00  0.00 10.00  0.00 15.00  0.00 16.00  0.00 22.18 
4  9.00  0.00 10.00  0.00 16.00  0.00 17.00  0.00 26.89 
4  9.00  0.00 10.00  0.00 17.00  0.00 18.00  0.00 32.32 
4  9.00  0.00 10.00  0.00 18.00  0.00 19.00  0.00 27.71 
4  9.00  0.00 10.00  0.00 19.00  0.00 20.00  0.00 52.16 
4  10.00  0.00 11.00  0.00 12.00  0.00 13.00  0.00 149.55 
4  10.00  0.00 11.00  0.00 13.00  0.00 14.00  0.00 74.10 
4  10.00  0.00 11.00  0.00 14.00  0.00 15.00  0.00 48.53 
4  10.00  0.00 11.00  0.00 15.00  0.00 16.00  0.00 31.39 
4  10.00  0.00 11.00  0.00 16.00  0.00 17.00  0.00 30.90 
4  10.00  0.00 11.00  0.00 17.00  0.00 18.00  0.00 41.30 
4  10.00  0.00 11.00  0.00 18.00  0.00 19.00  0.00 51.46 
4  10.00  0.00 11.00  0.00 19.00  0.00 20.00  0.00 36.31 
4  10.00  0.00 11.00  0.00 20.00  0.00 21.00  0.00 47.84 
4  11.00  0.00 12.00  0.00 13.00  0.00 14.00  0.00 98.24 
4  11.00  0.00 12.00  0.00 14.00  0.00 15.00  0.00 68.73 
4  11.00  0.00 12.00  0.00 15.00  0.00 16.00  0.00 42.24 
4  11.00  0.00 12.00  0.00 16.00  0.00 17.00  0.00 31.68 
4  11.00  0.00 12.00  0.00 17.00  0.00 18.00  0.00 38.57 
4  11.00  0.00 12.00  0.00 18.00  0.00 19.00  0.00 46.25 
4  11.00  0.00 12.00  0.00 19.00  0.00 20.00  0.00 45.87 
4  11.00  0.00 12.00  0.00 20.00  0.00 21.00  0.00 44.20 
4  11.00  0.00 12.00  0.00 21.00  0.00 22.00  0.00 51.98 
4  12.00  0.00 13.00  0.00 14.00  0.00 15.00  0.00 111.83 
4  12.00  0.00 13.00  0.00 15.00  0.00 16.00  0.00 64.50 
4  12.00  0.00 13.00  0.00 16.00  0.00 17.00  0.00 41.51 
4  12.00  0.00 13.00  0.00 17.00  0.00 18.00  0.00 46.59 
4  12.00  0.00 13.00  0.00 18.00  0.00 19.00  0.00 50.51 
4  12.00  0.00 13.00  0.00 19.00  0.00 20.00  0.00 48.33 
4  12.00  0.00 13.00  0.00 20.00  0.00 21.00  0.00 43.80 
4  12.00  0.00 13.00  0.00 21.00  0.00 22.00  0.00 48.48 
4  12.00  0.00 13.00  0.00 22.00  0.00 23.00  0.00 71.16 
4  13.00  0.00 14.00  0.00 15.00  0.00 16.00  0.00 91.52 
4  13.00  0.00 14.00  0.00 16.00  0.00 17.00  0.00 51.68 
4  13.00  0.00 14.00  0.00 17.00  0.00 18.00  0.00 50.62 
4  13.00  0.00 14.00  0.00 18.00  0.00 19.00  0.00 50.60 
4  13.00  0.00 14.00  0.00 19.00  0.00 20.00  0.00 48.69 
4  13.00  0.00 14.00  0.00 20.00  0.00 21.00  0.00 48.74 
4  13.00  0.00 14.00  0.00 21.00  0.00 22.00  0.00 58.37 
4  13.00  0.00 14.00  0.00 22.00  0.00 23.00  0.00 61.77 
4  14.00  0.00 15.00  0.00 16.00  0.00 17.00  0.00 83.64 
4  14.00  0.00 15.00  0.00 17.00  0.00 18.00  0.00 66.08 
4  14.00  0.00 15.00  0.00 18.00  0.00 19.00  0.00 63.54 
4  14.00  0.00 15.00  0.00 19.00  0.00 20.00  0.00 57.87 
4  14.00  0.00 15.00  0.00 20.00  0.00 21.00  0.00 56.28 
4  14.00  0.00 15.00  0.00 21.00  0.00 22.00  0.00 63.00 
4  14.00  0.00 15.00  0.00 22.00  0.00 23.00  0.00 62.41 
4  15.00  0.00 16.00  0.00 17.00  0.00 18.00  0.00 105.81 
4  15.00  0.00 16.00  0.00 18.00  0.00 19.00  0.00 86.18 
4  15.00  0.00 16.00  0.00 19.00  0.00 20.00  0.00 72.20 
4  15.00  0.00 16.00  0.00 20.00  0.00 21.00  0.00 72.24 
4  15.00  0.00 16.00  0.00 21.00  0.00 22.00  0.00 75.22 
4  15.00  0.00 16.00  0.00 22.00  0.00 23.00  0.00 74.22 
4  16.00  0.00 17.00  0.00 18.00  0.00 19.00  0.00 106.43 
4  16.00  0.00 17.00  0.00 19.00  0.00 20.00  0.00 89.81 
4  16.00  0.00 17.00  0.00 20.00  0.00 21.00  0.00 87.80 
4  16.00  0.00 17.00  0.00 21.00  0.00 22.00  0.00 93.79 
4  16.00  0.00 17.00  0.00 22.00  0.00 23.00  0.00 90.61 
4  17.00  0.00 18.00  0.00 19.00  0.00 20.00  0.00 113.58 
4  17.00  0.00 18.00  0.00 20.00  0.00 21.00  0.00 108.10 
4  17.00  0.00 18.00  0.00 21.00  0.00 22.00  0.00 116.65 
4  17.00  0.00 18.00  0.00 22.00  0.00 23.00  0.00 112.34 
4  18.00  0.00 19.00  0.00 20.00  0.00 21.00  0.00 124.41 
4  18.00  0.00 19.00  0.00 21.00  0.00 22.00  0.00 128.03 
4  18.00  0.00 19.00  0.00 22.00  0.00 23.00  0.00 116.30 
4  19.00  0.00 20.00  0.00 21.00  0.00 22.00  0.00 144.57 
4  19.00  0.00 20.00  0.00 22.00  0.00 23.00  0.00 118.46 
4  20.00  0.00 21.00  0.00 22.00  0.00 23.00  0.00 127.77 
0
0
0
0
