mcline5.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
153
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 120.98 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 107.96 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 86.34 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 74.96 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 72.99 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 70.53 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 69.63 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 55.61 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 62.65 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 126.95 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 96.02 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 73.23 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 67.16 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 70.07 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 65.49 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 55.94 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 46.91 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 52.93 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 116.47 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 80.36 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 70.26 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 68.11 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 62.62 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 57.44 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 52.45 
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 49.42 
4  2.00  0.00 3.00  0.00 12.00  0.00 13.00  0.00 45.92 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 107.12 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 76.98 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 71.10 
4  3.00  0.00 4.00  0.00 8.00  0.00 9.00  0.00 63.37 
4  3.00  0.00 4.00  0.00 9.00  0.00 10.00  0.00 55.84 
4  3.00  0.00 4.00  0.00 10.00  0.00 11.00  0.00 51.82 
4  3.00  0.00 4.00  0.00 11.00  0.00 12.00  0.00 54.55 
4  3.00  0.00 4.00  0.00 12.00  0.00 13.00  0.00 46.38 
4  3.00  0.00 4.00  0.00 13.00  0.00 14.00  0.00 31.89 
4  4.00  0.00 5.00  0.00 6.00  0.00 7.00  0.00 97.80 
4  4.00  0.00 5.00  0.00 7.00  0.00 8.00  0.00 70.32 
4  4.00  0.00 5.00  0.00 8.00  0.00 9.00  0.00 59.21 
4  4.00  0.00 5.00  0.00 9.00  0.00 10.00  0.00 49.92 
4  4.00  0.00 5.00  0.00 10.00  0.00 11.00  0.00 49.67 
4  4.00  0.00 5.00  0.00 11.00  0.00 12.00  0.00 42.22 
4  4.00  0.00 5.00  0.00 12.00  0.00 13.00  0.00 43.65 
4  4.00  0.00 5.00  0.00 13.00  0.00 14.00  0.00 49.47 
4  4.00  0.00 5.00  0.00 14.00  0.00 15.00  0.00 40.72 
4  5.00  0.00 6.00  0.00 7.00  0.00 8.00  0.00 96.37 
4  5.00  0.00 6.00  0.00 8.00  0.00 9.00  0.00 58.81 
4  5.00  0.00 6.00  0.00 9.00  0.00 10.00  0.00 44.05 
4  5.00  0.00 6.00  0.00 10.00  0.00 11.00  0.00 39.71 
4  5.00  0.00 6.00  0.00 11.00  0.00 12.00  0.00 37.17 
4  5.00  0.00 6.00  0.00 12.00  0.00 13.00  0.00 36.06 
4  5.00  0.00 6.00  0.00 13.00  0.00 14.00  0.00 27.99 
4  5.00  0.00 6.00  0.00 14.00  0.00 15.00  0.00 45.77 
4  5.00  0.00 6.00  0.00 15.00  0.00 16.00  0.00 42.75 
4  6.00  0.00 7.00  0.00 8.00  0.00 9.00  0.00 84.09 
4  6.00  0.00 7.00  0.00 9.00  0.00 10.00  0.00 46.41 
4  6.00  0.00 7.00  0.00 10.00  0.00 11.00  0.00 35.79 
4  6.00  0.00 7.00  0.00 11.00  0.00 12.00  0.00 32.47 
4  6.00  0.00 7.00  0.00 12.00  0.00 13.00  0.00 32.77 
4  6.00  0.00 7.00  0.00 13.00  0.00 14.00  0.00 33.87 
4  6.00  0.00 7.00  0.00 14.00  0.00 15.00  0.00 29.58 
4  6.00  0.00 7.00  0.00 15.00  0.00 16.00  0.00 25.53 
4  6.00  0.00 7.00  0.00 16.00  0.00 17.00  0.00 24.55 
4  7.00  0.00 8.00  0.00 9.00  0.00 10.00  0.00 83.68 
4  7.00  0.00 8.00  0.00 10.00  0.00 11.00  0.00 44.36 
4  7.00  0.00 8.00  0.00 11.00  0.00 12.00  0.00 32.31 
4  7.00  0.00 8.00  0.00 12.00  0.00 13.00  0.00 28.94 
4  7.00  0.00 8.00  0.00 13.00  0.00 14.00  0.00 27.43 
4  7.00  0.00 8.00  0.00 14.00  0.00 15.00  0.00 26.57 
4  7.00  0.00 8.00  0.00 15.00  0.00 16.00  0.00 29.65 
4  7.00  0.00 8.00  0.00 16.00  0.00 17.00  0.00 24.25 
4  7.00  0.00 8.00  0.00 17.00  0.00 18.00  0.00 31.16 
4  8.00  0.00 9.00  0.00 10.00  0.00 11.00  0.00 82.12 
4  8.00  0.00 9.00  0.00 11.00  0.00 12.00  0.00 42.29 
4  8.00  0.00 9.00  0.00 12.00  0.00 13.00  0.00 25.19 
4  8.00  0.00 9.00  0.00 13.00  0.00 14.00  0.00 22.50 
4  8.00  0.00 9.00  0.00 14.00  0.00 15.00  0.00 21.95 
4  8.00  0.00 9.00  0.00 15.00  0.00 16.00  0.00 22.74 
4  8.00  0.00 9.00  0.00 16.00  0.00 17.00  0.00 27.52 
4  8.00  0.00 9.00  0.00 17.00  0.00 18.00  0.00 20.70 
