mcline2.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
153
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 102.86 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 98.81 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 96.72 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 85.18 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 86.75 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 86.23 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 86.58 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 93.52 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 86.70 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 109.25 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 101.57 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 88.05 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 87.04 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 87.79 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 81.71 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 83.42 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 81.87 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 108.93 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 122.42 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 97.77 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 92.67 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 86.53 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 85.03 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 92.99 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 84.46 
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 72.49 
4  2.00  0.00 3.00  0.00 12.00  0.00 13.00  0.00 92.04 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 112.80 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 100.53 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 93.60 
4  3.00  0.00 4.00  0.00 8.00  0.00 9.00  0.00 86.60 
4  3.00  0.00 4.00  0.00 9.00  0.00 10.00  0.00 96.82 
4  3.00  0.00 4.00  0.00 10.00  0.00 11.00  0.00 86.74 
4  3.00  0.00 4.00  0.00 11.00  0.00 12.00  0.00 104.29 
4  3.00  0.00 4.00  0.00 12.00  0.00 13.00  0.00 71.17 
4  3.00  0.00 4.00  0.00 13.00  0.00 14.00  0.00 91.10 
4  4.00  0.00 5.00  0.00 6.00  0.00 7.00  0.00 128.26 
4  4.00  0.00 5.00  0.00 7.00  0.00 8.00  0.00 107.12 
4  4.00  0.00 5.00  0.00 8.00  0.00 9.00  0.00 95.33 
4  4.00  0.00 5.00  0.00 9.00  0.00 10.00  0.00 102.81 
4  4.00  0.00 5.00  0.00 10.00  0.00 11.00  0.00 98.14 
4  4.00  0.00 5.00  0.00 11.00  0.00 12.00  0.00 101.09 
4  4.00  0.00 5.00  0.00 12.00  0.00 13.00  0.00 96.67 
4  4.00  0.00 5.00  0.00 13.00  0.00 14.00  0.00 98.23 
4  4.00  0.00 5.00  0.00 14.00  0.00 15.00  0.00 76.87 
4  5.00  0.00 6.00  0.00 7.00  0.00 8.00  0.00 108.84 
4  5.00  0.00 6.00  0.00 8.00  0.00 9.00  0.00 89.54 
4  5.00  0.00 6.00  0.00 9.00  0.00 10.00  0.00 97.56 
4  5.00  0.00 6.00  0.00 10.00  0.00 11.00  0.00 87.16 
4  5.00  0.00 6.00  0.00 11.00  0.00 12.00  0.00 106.98 
4  5.00  0.00 6.00  0.00 12.00  0.00 13.00  0.00 88.71 
4  5.00  0.00 6.00  0.00 13.00  0.00 14.00  0.00 91.90 
4  5.00  0.00 6.00  0.00 14.00  0.00 15.00  0.00 101.68 
4  5.00  0.00 6.00  0.00 15.00  0.00 16.00  0.00 56.84 
4  6.00  0.00 7.00  0.00 8.00  0.00 9.00  0.00 110.34 
4  6.00  0.00 7.00  0.00 9.00  0.00 10.00  0.00 107.24 
4  6.00  0.00 7.00  0.00 10.00  0.00 11.00  0.00 92.30 
4  6.00  0.00 7.00  0.00 11.00  0.00 12.00  0.00 108.48 
4  6.00  0.00 7.00  0.00 12.00  0.00 13.00  0.00 87.93 
4  6.00  0.00 7.00  0.00 13.00  0.00 14.00  0.00 88.66 
4  6.00  0.00 7.00  0.00 14.00  0.00 15.00  0.00 75.30 
4  6.00  0.00 7.00  0.00 15.00  0.00 16.00  0.00 40.78 
4  6.00  0.00 7.00  0.00 16.00  0.00 17.00  0.00 85.15 
4  7.00  0.00 8.00  0.00 9.00  0.00 10.00  0.00 146.08 
4  7.00  0.00 8.00  0.00 10.00  0.00 11.00  0.00 105.80 
4  7.00  0.00 8.00  0.00 11.00  0.00 12.00  0.00 119.32 
4  7.00  0.00 8.00  0.00 12.00  0.00 13.00  0.00 100.68 
4  7.00  0.00 8.00  0.00 13.00  0.00 14.00  0.00 97.92 
4  7.00  0.00 8.00  0.00 14.00  0.00 15.00  0.00 104.21 
