mcline2.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
153
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 112.77 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 107.66 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 98.68 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 88.19 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 92.59 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 90.02 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 87.44 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 99.96 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 92.68 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 129.61 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 113.59 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 95.80 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 99.00 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 97.44 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 87.90 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 98.14 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 104.01 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 110.14 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 134.86 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 110.21 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 108.16 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 100.10 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 92.43 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 102.35 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 89.03 
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 107.63 
4  2.00  0.00 3.00  0.00 12.00  0.00 13.00  0.00 88.38 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 121.15 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 117.38 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 106.21 
4  3.00  0.00 4.00  0.00 8.00  0.00 9.00  0.00 95.72 
