El-array,xA(m),xB(m),xM(m),xN(m),Rho (Ohm.m),Dev.,M (mV/V),SP (mV) ,VMN (mV),IAB (mA),M1 (mV/V),M2 (mV/V),M3 (mV/V),M4 (mV/V),M5 (mV/V),M6 (mV/V),M7 (mV/V),M8 (mV/V),M9 (mV/V),M10 (mV/V),M11 (mV/V),M12 (mV/V),M13 (mV/V),M14 (mV/V),M15 (mV/V),M16 (mV/V),M17 (mV/V),M18 (mV/V),M19 (mV/V),M20 (mV/V),TM1 (ms),TM2 (ms),Latitude,Longitude
Dipole Dipole,0,1,2,3,115.21,0.03,0,-24.69,194.347,31.798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,0,1,3,4,87.85,0,0,11.83,220.198,188.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,0,1,4,5,74.18,0.06,0,20.88,74.193,188.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,0,1,5,6,71.71,0.36,0,113.27,35.857,188.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,0,1,6,7,70.37,6.39,0,-86.07,20.078,188.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,0,1,7,8,61.61,0.91,0,18.16,10.985,188.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,0,1,8,9,68.93,2.23,0,-45.24,8.188,188.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,0,1,9,10,51.15,1.32,0,114.06,4.249,187.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,0,1,10,11,61.99,1.92,0,46.54,3.743,187.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,1,2,3,4,113.57,0,0,11.38,194.171,32.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,1,2,4,5,90.74,0.03,0,21.31,228.195,189.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,1,2,5,6,75.98,0.41,0,112.93,76.369,189.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,1,2,6,7,65.01,0.67,0,-86.27,32.634,189.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,1,2,7,8,55.61,0.12,0,18.16,15.95,189.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,1,2,8,9,57.37,0.46,0,-45.52,10.283,189.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,1,2,9,10,49.73,1.07,0,113.91,5.936,189.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,1,2,10,11,48.61,0.35,0,46.71,4.061,188.934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,1,2,11,12,66.26,1.54,0,-73.38,4.028,189.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,2,3,4,5,129.69,0,0,20.98,210.629,30.613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,2,3,5,6,104.56,0.04,0,112.92,152.318,109.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,2,3,6,7,80.39,0.09,0,-86.44,79.965,187.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,2,3,7,8,63.66,0.79,0,18.17,31.664,187.503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,2,3,8,9,61.9,1.4,0,-45.77,17.588,187.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,2,3,9,10,49.76,0.49,0,113.83,8.836,187.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,2,3,10,11,52.6,0.75,0,46.87,6.226,187.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,2,3,11,12,59.75,1.97,0,-73.97,4.952,187.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,2,3,12,13,69.26,2.83,0,-77.85,4.174,187.452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipole Dipole,3,4,5,6,135.65,0,0,112.47,100.774,14.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
