 El-array xA(m) xB(m) xM(m) xN(m) Rho (Ohm.m) Dev. M (mV/V) SP (mV)  VMN (mV) IAB (mA)
 Dipole Dipole 6.00 7.00 8.00 9.00 134.33 0.00 0.00 -58.00 226.363 31.763
 Dipole Dipole 6.00 7.00 9.00 10.00 74.95 0.20 0.00 -26.92 80.624 81.110
 Dipole Dipole 6.00 7.00 10.00 11.00 50.68 1.71 0.00 4.08 21.807 81.103
 Dipole Dipole 6.00 7.00 11.00 12.00 42.72 1.26 0.00 10.31 9.212 81.293
 Dipole Dipole 6.00 7.00 12.00 13.00 37.68 5.57 0.00 -14.00 4.635 81.148
 Dipole Dipole 6.00 7.00 13.00 14.00 42.82 6.33 0.00 77.81 3.301 81.369
 Dipole Dipole 6.00 7.00 14.00 15.00 47.85 3.20 0.00 -7.81 2.461 81.411
 Dipole Dipole 6.00 7.00 15.00 16.00 65.18 6.81 0.00 -50.19 2.345 81.365
 Dipole Dipole 6.00 7.00 16.00 17.00 43.68 10.63 0.00 6.83 1.143 81.376
 Dipole Dipole 7.00 8.00 9.00 10.00 141.33 0.03 0.00 -26.72 220.347 29.389
 Dipole Dipole 7.00 8.00 10.00 11.00 73.28 0.07 0.00 4.25 72.221 74.308
 Dipole Dipole 7.00 8.00 11.00 12.00 50.89 0.71 0.00 10.31 20.080 74.370
 Dipole Dipole 7.00 8.00 12.00 13.00 48.56 0.17 0.00 -13.85 9.576 74.345
 Dipole Dipole 7.00 8.00 13.00 14.00 49.29 0.52 0.00 77.70 5.554 74.334
 Dipole Dipole 7.00 8.00 14.00 15.00 52.81 0.18 0.00 -7.55 3.721 74.369
 Dipole Dipole 7.00 8.00 15.00 16.00 57.47 0.44 0.00 -50.02 2.701 74.417
 Dipole Dipole 7.00 8.00 16.00 17.00 64.47 1.70 0.00 6.87 2.119 74.359
 Dipole Dipole 7.00 8.00 17.00 18.00 73.61 1.67 0.00 12.22 1.761 74.409
 Dipole Dipole 8.00 9.00 10.00 11.00 115.20 0.10 0.00 4.17 242.358 39.654
