mcline5.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
153
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 123.06 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 106.87 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 86.42 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 72.61 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 69.82 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 71.74 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 67.39 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 61.62 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 56.31 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 125.79 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 97.00 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 74.87 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 69.84 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 68.85 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 67.60 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 66.95 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 52.22 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 49.28 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 116.46 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 80.88 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 69.37 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 67.38 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 62.39 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 56.19 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 50.67 
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 51.71 
4  2.00  0.00 3.00  0.00 12.00  0.00 13.00  0.00 40.08 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 105.99 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 76.11 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 69.24 
4  3.00  0.00 4.00  0.00 8.00  0.00 9.00  0.00 63.23 
4  3.00  0.00 4.00  0.00 9.00  0.00 10.00  0.00 54.95 
4  3.00  0.00 4.00  0.00 10.00  0.00 11.00  0.00 50.01 
4  3.00  0.00 4.00  0.00 11.00  0.00 12.00  0.00 48.14 
4  3.00  0.00 4.00  0.00 12.00  0.00 13.00  0.00 47.73 
4  3.00  0.00 4.00  0.00 13.00  0.00 14.00  0.00 54.97 
4  4.00  0.00 5.00  0.00 6.00  0.00 7.00  0.00 97.76 
4  4.00  0.00 5.00  0.00 7.00  0.00 8.00  0.00 68.92 
4  4.00  0.00 5.00  0.00 8.00  0.00 9.00  0.00 58.42 
4  4.00  0.00 5.00  0.00 9.00  0.00 10.00  0.00 48.27 
4  4.00  0.00 5.00  0.00 10.00  0.00 11.00  0.00 49.50 
4  4.00  0.00 5.00  0.00 11.00  0.00 12.00  0.00 40.20 
4  4.00  0.00 5.00  0.00 12.00  0.00 13.00  0.00 38.07 
4  4.00  0.00 5.00  0.00 13.00  0.00 14.00  0.00 48.94 
4  4.00  0.00 5.00  0.00 14.00  0.00 15.00  0.00 25.58 
4  5.00  0.00 6.00  0.00 7.00  0.00 8.00  0.00 93.16 
4  5.00  0.00 6.00  0.00 8.00  0.00 9.00  0.00 57.20 
4  5.00  0.00 6.00  0.00 9.00  0.00 10.00  0.00 44.10 
4  5.00  0.00 6.00  0.00 10.00  0.00 11.00  0.00 39.03 
4  5.00  0.00 6.00  0.00 11.00  0.00 12.00  0.00 36.21 
4  5.00  0.00 6.00  0.00 12.00  0.00 13.00  0.00 36.58 
