mcline3.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
153
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 120.70 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 84.19 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 38.50 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 19.02 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 14.53 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 15.73 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 23.06 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 28.66 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 36.13 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 164.34 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 91.26 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 41.75 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 22.25 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 18.45 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 29.36 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 27.43 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 32.74 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 33.65 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 149.69 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 81.18 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 36.58 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 21.62 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 22.77 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 33.23 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 27.15 
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 30.51 
4  2.00  0.00 3.00  0.00 12.00  0.00 13.00  0.00 39.58 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 150.17 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 76.00 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 34.16 
4  3.00  0.00 4.00  0.00 8.00  0.00 9.00  0.00 27.53 
4  3.00  0.00 4.00  0.00 9.00  0.00 10.00  0.00 37.09 
4  3.00  0.00 4.00  0.00 10.00  0.00 11.00  0.00 33.77 
4  3.00  0.00 4.00  0.00 11.00  0.00 12.00  0.00 37.39 
4  3.00  0.00 4.00  0.00 12.00  0.00 13.00  0.00 45.79 
4  3.00  0.00 4.00  0.00 13.00  0.00 14.00  0.00 29.04 
4  4.00  0.00 5.00  0.00 6.00  0.00 7.00  0.00 128.27 
4  4.00  0.00 5.00  0.00 7.00  0.00 8.00  0.00 63.27 
4  4.00  0.00 5.00  0.00 8.00  0.00 9.00  0.00 38.01 
4  4.00  0.00 5.00  0.00 9.00  0.00 10.00  0.00 36.29 
4  4.00  0.00 5.00  0.00 10.00  0.00 11.00  0.00 34.68 
4  4.00  0.00 5.00  0.00 11.00  0.00 12.00  0.00 34.87 
4  4.00  0.00 5.00  0.00 12.00  0.00 13.00  0.00 42.25 
4  4.00  0.00 5.00  0.00 13.00  0.00 14.00  0.00 41.29 
4  4.00  0.00 5.00  0.00 14.00  0.00 15.00  0.00 32.53 
4  5.00  0.00 6.00  0.00 7.00  0.00 8.00  0.00 125.57 
4  5.00  0.00 6.00  0.00 8.00  0.00 9.00  0.00 76.14 
4  5.00  0.00 6.00  0.00 9.00  0.00 10.00  0.00 51.70 
4  5.00  0.00 6.00  0.00 10.00  0.00 11.00  0.00 45.65 
4  5.00  0.00 6.00  0.00 11.00  0.00 12.00  0.00 46.44 
4  5.00  0.00 6.00  0.00 12.00  0.00 13.00  0.00 45.55 
4  5.00  0.00 6.00  0.00 13.00  0.00 14.00  0.00 46.81 
4  5.00  0.00 6.00  0.00 14.00  0.00 15.00  0.00 45.25 
4  5.00  0.00 6.00  0.00 15.00  0.00 16.00  0.00 49.35 
4  6.00  0.00 7.00  0.00 8.00  0.00 9.00  0.00 160.00 
4  6.00  0.00 7.00  0.00 9.00  0.00 10.00  0.00 97.44 
4  6.00  0.00 7.00  0.00 10.00  0.00 11.00  0.00 70.76 
4  6.00  0.00 7.00  0.00 11.00  0.00 12.00  0.00 64.12 
4  6.00  0.00 7.00  0.00 12.00  0.00 13.00  0.00 61.35 
4  6.00  0.00 7.00  0.00 13.00  0.00 14.00  0.00 52.84 
4  6.00  0.00 7.00  0.00 14.00  0.00 15.00  0.00 52.76 
4  6.00  0.00 7.00  0.00 15.00  0.00 16.00  0.00 63.89 
4  6.00  0.00 7.00  0.00 16.00  0.00 17.00  0.00 63.28 
4  7.00  0.00 8.00  0.00 9.00  0.00 10.00  0.00 153.21 
4  7.00  0.00 8.00  0.00 10.00  0.00 11.00  0.00 102.97 
4  7.00  0.00 8.00  0.00 11.00  0.00 12.00  0.00 83.37 
4  7.00  0.00 8.00  0.00 12.00  0.00 13.00  0.00 74.41 
4  7.00  0.00 8.00  0.00 13.00  0.00 14.00  0.00 67.10 
4  7.00  0.00 8.00  0.00 14.00  0.00 15.00  0.00 59.85 
4  7.00  0.00 8.00  0.00 15.00  0.00 16.00  0.00 62.34 
4  7.00  0.00 8.00  0.00 16.00  0.00 17.00  0.00 65.78 
4  7.00  0.00 8.00  0.00 17.00  0.00 18.00  0.00 79.14 
4  8.00  0.00 9.00  0.00 10.00  0.00 11.00  0.00 171.49 
4  8.00  0.00 9.00  0.00 11.00  0.00 12.00  0.00 128.50 
4  8.00  0.00 9.00  0.00 12.00  0.00 13.00  0.00 100.89 
4  8.00  0.00 9.00  0.00 13.00  0.00 14.00  0.00 84.92 
4  8.00  0.00 9.00  0.00 14.00  0.00 15.00  0.00 86.07 
4  8.00  0.00 9.00  0.00 15.00  0.00 16.00  0.00 84.20 
4  8.00  0.00 9.00  0.00 16.00  0.00 17.00  0.00 82.11 
4  8.00  0.00 9.00  0.00 17.00  0.00 18.00  0.00 83.65 
4  8.00  0.00 9.00  0.00 18.00  0.00 19.00  0.00 87.65 
4  9.00  0.00 10.00  0.00 11.00  0.00 12.00  0.00 195.06 
4  9.00  0.00 10.00  0.00 12.00  0.00 13.00  0.00 133.60 
4  9.00  0.00 10.00  0.00 13.00  0.00 14.00  0.00 99.31 
4  9.00  0.00 10.00  0.00 14.00  0.00 15.00  0.00 90.21 
4  9.00  0.00 10.00  0.00 15.00  0.00 16.00  0.00 86.83 
4  9.00  0.00 10.00  0.00 16.00  0.00 17.00  0.00 89.44 
4  9.00  0.00 10.00  0.00 17.00  0.00 18.00  0.00 94.76 
4  9.00  0.00 10.00  0.00 18.00  0.00 19.00  0.00 95.77 
4  9.00  0.00 10.00  0.00 19.00  0.00 20.00  0.00 109.01 
4  10.00  0.00 11.00  0.00 12.00  0.00 13.00  0.00 181.19 
4  10.00  0.00 11.00  0.00 13.00  0.00 14.00  0.00 107.53 
4  10.00  0.00 11.00  0.00 14.00  0.00 15.00  0.00 82.71 
4  10.00  0.00 11.00  0.00 15.00  0.00 16.00  0.00 74.52 
4  10.00  0.00 11.00  0.00 16.00  0.00 17.00  0.00 71.72 
4  10.00  0.00 11.00  0.00 17.00  0.00 18.00  0.00 81.98 
4  10.00  0.00 11.00  0.00 18.00  0.00 19.00  0.00 96.44 
4  10.00  0.00 11.00  0.00 19.00  0.00 20.00  0.00 99.60 
4  10.00  0.00 11.00  0.00 20.00  0.00 21.00  0.00 100.23 
4  11.00  0.00 12.00  0.00 13.00  0.00 14.00  0.00 164.02 
4  11.00  0.00 12.00  0.00 14.00  0.00 15.00  0.00 101.99 
4  11.00  0.00 12.00  0.00 15.00  0.00 16.00  0.00 75.39 
4  11.00  0.00 12.00  0.00 16.00  0.00 17.00  0.00 71.32 
4  11.00  0.00 12.00  0.00 17.00  0.00 18.00  0.00 75.99 
4  11.00  0.00 12.00  0.00 18.00  0.00 19.00  0.00 86.46 
4  11.00  0.00 12.00  0.00 19.00  0.00 20.00  0.00 99.62 
4  11.00  0.00 12.00  0.00 20.00  0.00 21.00  0.00 101.40 
4  11.00  0.00 12.00  0.00 21.00  0.00 22.00  0.00 109.83 
4  12.00  0.00 13.00  0.00 14.00  0.00 15.00  0.00 165.04 
4  12.00  0.00 13.00  0.00 15.00  0.00 16.00  0.00 94.53 
4  12.00  0.00 13.00  0.00 16.00  0.00 17.00  0.00 78.94 
4  12.00  0.00 13.00  0.00 17.00  0.00 18.00  0.00 74.56 
4  12.00  0.00 13.00  0.00 18.00  0.00 19.00  0.00 80.99 
4  12.00  0.00 13.00  0.00 19.00  0.00 20.00  0.00 90.58 
4  12.00  0.00 13.00  0.00 20.00  0.00 21.00  0.00 92.48 
4  12.00  0.00 13.00  0.00 21.00  0.00 22.00  0.00 104.91 
4  12.00  0.00 13.00  0.00 22.00  0.00 23.00  0.00 107.20 
4  13.00  0.00 14.00  0.00 15.00  0.00 16.00  0.00 135.24 
4  13.00  0.00 14.00  0.00 16.00  0.00 17.00  0.00 87.69 
4  13.00  0.00 14.00  0.00 17.00  0.00 18.00  0.00 71.16 
4  13.00  0.00 14.00  0.00 18.00  0.00 19.00  0.00 76.44 
4  13.00  0.00 14.00  0.00 19.00  0.00 20.00  0.00 81.50 
4  13.00  0.00 14.00  0.00 20.00  0.00 21.00  0.00 91.81 
4  13.00  0.00 14.00  0.00 21.00  0.00 22.00  0.00 107.66 
4  13.00  0.00 14.00  0.00 22.00  0.00 23.00  0.00 101.91 
4  14.00  0.00 15.00  0.00 16.00  0.00 17.00  0.00 139.00 
4  14.00  0.00 15.00  0.00 17.00  0.00 18.00  0.00 86.14 
4  14.00  0.00 15.00  0.00 18.00  0.00 19.00  0.00 78.94 
4  14.00  0.00 15.00  0.00 19.00  0.00 20.00  0.00 78.47 
4  14.00  0.00 15.00  0.00 20.00  0.00 21.00  0.00 87.53 
4  14.00  0.00 15.00  0.00 21.00  0.00 22.00  0.00 93.29 
4  14.00  0.00 15.00  0.00 22.00  0.00 23.00  0.00 92.08 
4  15.00  0.00 16.00  0.00 17.00  0.00 18.00  0.00 128.79 
