mcline3.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
153
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 100.61 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 67.53 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 30.65 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 14.39 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 12.99 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 11.89 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 24.62 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 29.40 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 23.88 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 137.47 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 73.54 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 33.57 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 19.27 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 18.45 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 25.76 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 39.94 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 26.75 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 38.89 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 123.23 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 62.47 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 26.88 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 15.24 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 23.96 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 29.99 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 33.87 
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 44.27 
4  2.00  0.00 3.00  0.00 12.00  0.00 13.00  0.00 9.93 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 132.38 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 56.41 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 25.97 
4  3.00  0.00 4.00  0.00 8.00  0.00 9.00  0.00 27.20 
4  3.00  0.00 4.00  0.00 9.00  0.00 10.00  0.00 31.92 
4  3.00  0.00 4.00  0.00 10.00  0.00 11.00  0.00 36.66 
