mcline1.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
801
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 152.04 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 84.21 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 62.99 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 49.28 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 43.06 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 60.89 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 101.36 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 62.26 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 38.02 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 150.48 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 83.66 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 57.78 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 44.62 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 37.08 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 44.69 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 50.16 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 60.81 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 66.44 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 141.16 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 77.83 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 48.93 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 53.31 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 57.79 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 53.43 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 51.06 
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 61.88 
4  2.00  0.00 3.00  0.00 12.00  0.00 13.00  0.00 61.09 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 148.23 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 65.83 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 53.46 
4  3.00  0.00 4.00  0.00 8.00  0.00 9.00  0.00 53.32 
4  3.00  0.00 4.00  0.00 9.00  0.00 10.00  0.00 51.46 
4  3.00  0.00 4.00  0.00 10.00  0.00 11.00  0.00 54.11 
4  3.00  0.00 4.00  0.00 11.00  0.00 12.00  0.00 47.96 
4  3.00  0.00 4.00  0.00 12.00  0.00 13.00  0.00 61.82 
4  3.00  0.00 4.00  0.00 13.00  0.00 14.00  0.00 48.45 
4  4.00  0.00 5.00  0.00 6.00  0.00 7.00  0.00 185.33 
4  4.00  0.00 5.00  0.00 7.00  0.00 8.00  0.00 91.67 
4  4.00  0.00 5.00  0.00 8.00  0.00 9.00  0.00 58.31 
4  4.00  0.00 5.00  0.00 9.00  0.00 10.00  0.00 51.13 
4  4.00  0.00 5.00  0.00 10.00  0.00 11.00  0.00 47.36 
4  4.00  0.00 5.00  0.00 11.00  0.00 12.00  0.00 50.52 
4  4.00  0.00 5.00  0.00 12.00  0.00 13.00  0.00 56.01 
4  4.00  0.00 5.00  0.00 13.00  0.00 14.00  0.00 63.60 
4  4.00  0.00 5.00  0.00 14.00  0.00 15.00  0.00 59.03 
4  5.00  0.00 6.00  0.00 7.00  0.00 8.00  0.00 232.81 
4  5.00  0.00 6.00  0.00 8.00  0.00 9.00  0.00 86.80 
4  5.00  0.00 6.00  0.00 9.00  0.00 10.00  0.00 61.56 
4  5.00  0.00 6.00  0.00 10.00  0.00 11.00  0.00 47.88 
4  5.00  0.00 6.00  0.00 11.00  0.00 12.00  0.00 48.76 
4  5.00  0.00 6.00  0.00 12.00  0.00 13.00  0.00 50.68 
4  5.00  0.00 6.00  0.00 13.00  0.00 14.00  0.00 46.43 
4  5.00  0.00 6.00  0.00 14.00  0.00 15.00  0.00 70.40 
4  5.00  0.00 6.00  0.00 15.00  0.00 16.00  0.00 45.16 
4  6.00  0.00 7.00  0.00 8.00  0.00 9.00  0.00 156.54 
4  6.00  0.00 7.00  0.00 9.00  0.00 10.00  0.00 74.09 
4  6.00  0.00 7.00  0.00 10.00  0.00 11.00  0.00 47.83 
4  6.00  0.00 7.00  0.00 11.00  0.00 12.00  0.00 43.99 
4  6.00  0.00 7.00  0.00 12.00  0.00 13.00  0.00 41.55 
4  6.00  0.00 7.00  0.00 13.00  0.00 14.00  0.00 33.43 
4  6.00  0.00 7.00  0.00 14.00  0.00 15.00  0.00 54.19 
4  6.00  0.00 7.00  0.00 15.00  0.00 16.00  0.00 43.49 
4  6.00  0.00 7.00  0.00 16.00  0.00 17.00  0.00 65.62 
4  7.00  0.00 8.00  0.00 9.00  0.00 10.00  0.00 156.08 
4  7.00  0.00 8.00  0.00 10.00  0.00 11.00  0.00 72.23 
4  7.00  0.00 8.00  0.00 11.00  0.00 12.00  0.00 48.87 
4  7.00  0.00 8.00  0.00 12.00  0.00 13.00  0.00 48.09 
4  7.00  0.00 8.00  0.00 13.00  0.00 14.00  0.00 47.39 
4  7.00  0.00 8.00  0.00 14.00  0.00 15.00  0.00 69.22 
4  7.00  0.00 8.00  0.00 15.00  0.00 16.00  0.00 35.59 
4  7.00  0.00 8.00  0.00 16.00  0.00 17.00  0.00 98.75 
4  7.00  0.00 8.00  0.00 17.00  0.00 18.00  0.00 48.25 
4  8.00  0.00 9.00  0.00 10.00  0.00 11.00  0.00 126.75 
4  8.00  0.00 9.00  0.00 11.00  0.00 12.00  0.00 60.12 
4  8.00  0.00 9.00  0.00 12.00  0.00 13.00  0.00 45.34 
4  8.00  0.00 9.00  0.00 13.00  0.00 14.00  0.00 46.34 
4  8.00  0.00 9.00  0.00 14.00  0.00 15.00  0.00 50.05 
