mcline6.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
153
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 123.64 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 94.81 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 78.78 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 74.87 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 65.85 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 467.78 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 67.36 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 54.69 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 62.80 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 115.53 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 93.09 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 78.38 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 58.41 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 192.08 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 59.58 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 54.21 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 52.98 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 66.64 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 135.33 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 110.47 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 85.42 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 70.19 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 65.98 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 54.74 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 55.02 
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 65.71 
4  2.00  0.00 3.00  0.00 12.00  0.00 13.00  0.00 72.77 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 139.36 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 108.33 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 83.10 
4  3.00  0.00 4.00  0.00 8.00  0.00 9.00  0.00 68.95 
4  3.00  0.00 4.00  0.00 9.00  0.00 10.00  0.00 50.14 
4  3.00  0.00 4.00  0.00 10.00  0.00 11.00  0.00 47.20 
4  3.00  0.00 4.00  0.00 11.00  0.00 12.00  0.00 57.42 
4  3.00  0.00 4.00  0.00 12.00  0.00 13.00  0.00 66.96 
4  3.00  0.00 4.00  0.00 13.00  0.00 14.00  0.00 60.02 
4  4.00  0.00 5.00  0.00 6.00  0.00 7.00  0.00 128.93 
4  4.00  0.00 5.00  0.00 7.00  0.00 8.00  0.00 106.35 
4  4.00  0.00 5.00  0.00 8.00  0.00 9.00  0.00 82.46 
4  4.00  0.00 5.00  0.00 9.00  0.00 10.00  0.00 52.57 
4  4.00  0.00 5.00  0.00 10.00  0.00 11.00  0.00 47.04 
4  4.00  0.00 5.00  0.00 11.00  0.00 12.00  0.00 46.73 
4  4.00  0.00 5.00  0.00 12.00  0.00 13.00  0.00 53.81 
4  4.00  0.00 5.00  0.00 13.00  0.00 14.00  0.00 64.47 
4  4.00  0.00 5.00  0.00 14.00  0.00 15.00  0.00 76.50 
4  5.00  0.00 6.00  0.00 7.00  0.00 8.00  0.00 152.08 
4  5.00  0.00 6.00  0.00 8.00  0.00 9.00  0.00 117.80 
4  5.00  0.00 6.00  0.00 9.00  0.00 10.00  0.00 66.99 
4  5.00  0.00 6.00  0.00 10.00  0.00 11.00  0.00 51.74 
4  5.00  0.00 6.00  0.00 11.00  0.00 12.00  0.00 47.52 
4  5.00  0.00 6.00  0.00 12.00  0.00 13.00  0.00 56.62 
4  5.00  0.00 6.00  0.00 13.00  0.00 14.00  0.00 47.96 
4  5.00  0.00 6.00  0.00 14.00  0.00 15.00  0.00 67.19 
4  5.00  0.00 6.00  0.00 15.00  0.00 16.00  0.00 96.54 
4  6.00  0.00 7.00  0.00 8.00  0.00 9.00  0.00 155.05 
4  6.00  0.00 7.00  0.00 9.00  0.00 10.00  0.00 83.57 
