mcline4.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
153
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 133.25 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 96.74 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 56.09 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 34.96 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 27.12 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 18.52 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 21.60 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 18.86 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 22.20 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 123.17 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 77.08 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 44.76 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 29.44 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 20.41 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 19.47 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 9.16 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 13.72 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 25.64 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 120.70 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 71.52 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 45.10 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 26.60 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 19.85 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 14.64 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 23.52 
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 22.75 
4  2.00  0.00 3.00  0.00 12.00  0.00 13.00  0.00 30.21 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 122.36 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 72.75 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 38.68 
4  3.00  0.00 4.00  0.00 8.00  0.00 9.00  0.00 24.20 
4  3.00  0.00 4.00  0.00 9.00  0.00 10.00  0.00 19.63 
4  3.00  0.00 4.00  0.00 10.00  0.00 11.00  0.00 13.35 
4  3.00  0.00 4.00  0.00 11.00  0.00 12.00  0.00 28.08 
4  3.00  0.00 4.00  0.00 12.00  0.00 13.00  0.00 1.40 
4  3.00  0.00 4.00  0.00 13.00  0.00 14.00  0.00 16.66 
4  4.00  0.00 5.00  0.00 6.00  0.00 7.00  0.00 130.65 
4  4.00  0.00 5.00  0.00 7.00  0.00 8.00  0.00 57.93 
4  4.00  0.00 5.00  0.00 8.00  0.00 9.00  0.00 35.07 
4  4.00  0.00 5.00  0.00 9.00  0.00 10.00  0.00 21.09 
4  4.00  0.00 5.00  0.00 10.00  0.00 11.00  0.00 20.31 
