mcline4.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
153
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 137.82 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 104.94 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 66.45 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 41.37 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 26.75 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 20.34 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 14.74 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 16.28 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 32.73 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 125.40 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 89.82 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 53.61 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 34.65 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 21.60 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 18.40 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 14.18 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 11.22 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 4.65 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 132.14 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 88.26 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 54.27 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 29.48 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 21.07 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 17.54 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 19.04 
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 12.60 
4  2.00  0.00 3.00  0.00 12.00  0.00 13.00  0.00 11.22 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 136.97 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 85.29 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 46.45 
4  3.00  0.00 4.00  0.00 8.00  0.00 9.00  0.00 30.22 
4  3.00  0.00 4.00  0.00 9.00  0.00 10.00  0.00 19.87 
4  3.00  0.00 4.00  0.00 10.00  0.00 11.00  0.00 15.99 
4  3.00  0.00 4.00  0.00 11.00  0.00 12.00  0.00 24.89 
4  3.00  0.00 4.00  0.00 12.00  0.00 13.00  0.00 26.87 
4  3.00  0.00 4.00  0.00 13.00  0.00 14.00  0.00 13.48 
4  4.00  0.00 5.00  0.00 6.00  0.00 7.00  0.00 139.86 
4  4.00  0.00 5.00  0.00 7.00  0.00 8.00  0.00 73.85 
4  4.00  0.00 5.00  0.00 8.00  0.00 9.00  0.00 45.00 
4  4.00  0.00 5.00  0.00 9.00  0.00 10.00  0.00 25.05 
4  4.00  0.00 5.00  0.00 10.00  0.00 11.00  0.00 19.25 
4  4.00  0.00 5.00  0.00 11.00  0.00 12.00  0.00 14.34 
4  4.00  0.00 5.00  0.00 12.00  0.00 13.00  0.00 11.06 
4  4.00  0.00 5.00  0.00 13.00  0.00 14.00  0.00 10.42 
4  4.00  0.00 5.00  0.00 14.00  0.00 15.00  0.00 17.40 
4  5.00  0.00 6.00  0.00 7.00  0.00 8.00  0.00 120.26 
4  5.00  0.00 6.00  0.00 8.00  0.00 9.00  0.00 74.16 
4  5.00  0.00 6.00  0.00 9.00  0.00 10.00  0.00 36.42 
4  5.00  0.00 6.00  0.00 10.00  0.00 11.00  0.00 23.21 
4  5.00  0.00 6.00  0.00 11.00  0.00 12.00  0.00 19.25 
4  5.00  0.00 6.00  0.00 12.00  0.00 13.00  0.00 15.16 
4  5.00  0.00 6.00  0.00 13.00  0.00 14.00  0.00 19.78 
4  5.00  0.00 6.00  0.00 14.00  0.00 15.00  0.00 23.20 
4  5.00  0.00 6.00  0.00 15.00  0.00 16.00  0.00 26.87 
4  6.00  0.00 7.00  0.00 8.00  0.00 9.00  0.00 143.20 
4  6.00  0.00 7.00  0.00 9.00  0.00 10.00  0.00 68.58 
4  6.00  0.00 7.00  0.00 10.00  0.00 11.00  0.00 36.95 
4  6.00  0.00 7.00  0.00 11.00  0.00 12.00  0.00 23.54 
4  6.00  0.00 7.00  0.00 12.00  0.00 13.00  0.00 15.61 
4  6.00  0.00 7.00  0.00 13.00  0.00 14.00  0.00 16.10 
4  6.00  0.00 7.00  0.00 14.00  0.00 15.00  0.00 15.61 
4  6.00  0.00 7.00  0.00 15.00  0.00 16.00  0.00 16.61 
4  6.00  0.00 7.00  0.00 16.00  0.00 17.00  0.00 33.85 
4  7.00  0.00 8.00  0.00 9.00  0.00 10.00  0.00 129.14 
4  7.00  0.00 8.00  0.00 10.00  0.00 11.00  0.00 72.29 
4  7.00  0.00 8.00  0.00 11.00  0.00 12.00  0.00 37.11 
4  7.00  0.00 8.00  0.00 12.00  0.00 13.00  0.00 25.08 
4  7.00  0.00 8.00  0.00 13.00  0.00 14.00  0.00 13.17 
4  7.00  0.00 8.00  0.00 14.00  0.00 15.00  0.00 12.89 
4  7.00  0.00 8.00  0.00 15.00  0.00 16.00  0.00 17.45 
4  7.00  0.00 8.00  0.00 16.00  0.00 17.00  0.00 15.61 
