mcline1.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
801
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 157.53 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 92.26 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 66.70 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 52.47 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 45.61 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 53.70 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 57.06 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 66.11 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 110.74 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 158.21 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 96.59 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 62.59 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 49.97 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 50.54 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 53.77 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 51.29 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 65.90 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 66.43 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 156.27 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 87.16 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 57.85 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 51.80 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 53.49 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 57.33 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 67.53 
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 56.88 
4  2.00  0.00 3.00  0.00 12.00  0.00 13.00  0.00 69.58 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 140.46 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 78.30 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 60.90 
4  3.00  0.00 4.00  0.00 8.00  0.00 9.00  0.00 53.38 
4  3.00  0.00 4.00  0.00 9.00  0.00 10.00  0.00 51.74 
4  3.00  0.00 4.00  0.00 10.00  0.00 11.00  0.00 48.92 
4  3.00  0.00 4.00  0.00 11.00  0.00 12.00  0.00 56.10 
4  3.00  0.00 4.00  0.00 12.00  0.00 13.00  0.00 72.25 
4  3.00  0.00 4.00  0.00 13.00  0.00 14.00  0.00 63.66 
4  4.00  0.00 5.00  0.00 6.00  0.00 7.00  0.00 129.91 
4  4.00  0.00 5.00  0.00 7.00  0.00 8.00  0.00 94.74 
4  4.00  0.00 5.00  0.00 8.00  0.00 9.00  0.00 63.92 
4  4.00  0.00 5.00  0.00 9.00  0.00 10.00  0.00 56.44 
4  4.00  0.00 5.00  0.00 10.00  0.00 11.00  0.00 55.65 
4  4.00  0.00 5.00  0.00 11.00  0.00 12.00  0.00 50.83 
4  4.00  0.00 5.00  0.00 12.00  0.00 13.00  0.00 57.30 
4  4.00  0.00 5.00  0.00 13.00  0.00 14.00  0.00 62.99 
4  4.00  0.00 5.00  0.00 14.00  0.00 15.00  0.00 70.75 
4  5.00  0.00 6.00  0.00 7.00  0.00 8.00  0.00 150.49 
4  5.00  0.00 6.00  0.00 8.00  0.00 9.00  0.00 90.52 
4  5.00  0.00 6.00  0.00 9.00  0.00 10.00  0.00 65.47 
4  5.00  0.00 6.00  0.00 10.00  0.00 11.00  0.00 50.72 
4  5.00  0.00 6.00  0.00 11.00  0.00 12.00  0.00 48.23 
4  5.00  0.00 6.00  0.00 12.00  0.00 13.00  0.00 57.15 
4  5.00  0.00 6.00  0.00 13.00  0.00 14.00  0.00 58.37 
4  5.00  0.00 6.00  0.00 14.00  0.00 15.00  0.00 50.28 
4  5.00  0.00 6.00  0.00 15.00  0.00 16.00  0.00 64.68 
4  6.00  0.00 7.00  0.00 8.00  0.00 9.00  0.00 145.26 
4  6.00  0.00 7.00  0.00 9.00  0.00 10.00  0.00 91.56 
4  6.00  0.00 7.00  0.00 10.00  0.00 11.00  0.00 55.35 
4  6.00  0.00 7.00  0.00 11.00  0.00 12.00  0.00 46.02 
4  6.00  0.00 7.00  0.00 12.00  0.00 13.00  0.00 44.70 
4  6.00  0.00 7.00  0.00 13.00  0.00 14.00  0.00 45.34 
4  6.00  0.00 7.00  0.00 14.00  0.00 15.00  0.00 48.27 
4  6.00  0.00 7.00  0.00 15.00  0.00 16.00  0.00 56.90 
4  6.00  0.00 7.00  0.00 16.00  0.00 17.00  0.00 71.89 
4  7.00  0.00 8.00  0.00 9.00  0.00 10.00  0.00 159.59 
4  7.00  0.00 8.00  0.00 10.00  0.00 11.00  0.00 86.40 
4  7.00  0.00 8.00  0.00 11.00  0.00 12.00  0.00 51.53 
4  7.00  0.00 8.00  0.00 12.00  0.00 13.00  0.00 48.74 
4  7.00  0.00 8.00  0.00 13.00  0.00 14.00  0.00 50.72 
4  7.00  0.00 8.00  0.00 14.00  0.00 15.00  0.00 56.00 
4  7.00  0.00 8.00  0.00 15.00  0.00 16.00  0.00 54.62 
4  7.00  0.00 8.00  0.00 16.00  0.00 17.00  0.00 49.61 
4  7.00  0.00 8.00  0.00 17.00  0.00 18.00  0.00 67.83 
4  8.00  0.00 9.00  0.00 10.00  0.00 11.00  0.00 144.38 
4  8.00  0.00 9.00  0.00 11.00  0.00 12.00  0.00 73.55 
4  8.00  0.00 9.00  0.00 12.00  0.00 13.00  0.00 49.48 
4  8.00  0.00 9.00  0.00 13.00  0.00 14.00  0.00 49.18 
4  8.00  0.00 9.00  0.00 14.00  0.00 15.00  0.00 50.04 
4  8.00  0.00 9.00  0.00 15.00  0.00 16.00  0.00 51.98 
4  8.00  0.00 9.00  0.00 16.00  0.00 17.00  0.00 52.81 
4  8.00  0.00 9.00  0.00 17.00  0.00 18.00  0.00 52.33 
4  8.00  0.00 9.00  0.00 18.00  0.00 19.00  0.00 64.16 
4  9.00  0.00 10.00  0.00 11.00  0.00 12.00  0.00 135.72 
4  9.00  0.00 10.00  0.00 12.00  0.00 13.00  0.00 69.52 
4  9.00  0.00 10.00  0.00 13.00  0.00 14.00  0.00 55.41 
4  9.00  0.00 10.00  0.00 14.00  0.00 15.00  0.00 50.89 
4  9.00  0.00 10.00  0.00 15.00  0.00 16.00  0.00 51.67 
4  9.00  0.00 10.00  0.00 16.00  0.00 17.00  0.00 52.92 
4  9.00  0.00 10.00  0.00 17.00  0.00 18.00  0.00 51.18 
4  9.00  0.00 10.00  0.00 18.00  0.00 19.00  0.00 66.84 
4  9.00  0.00 10.00  0.00 19.00  0.00 20.00  0.00 60.95 
4  10.00  0.00 11.00  0.00 12.00  0.00 13.00  0.00 106.33 
4  10.00  0.00 11.00  0.00 13.00  0.00 14.00  0.00 63.71 
4  10.00  0.00 11.00  0.00 14.00  0.00 15.00  0.00 51.05 
4  10.00  0.00 11.00  0.00 15.00  0.00 16.00  0.00 51.63 
4  10.00  0.00 11.00  0.00 16.00  0.00 17.00  0.00 56.17 
4  10.00  0.00 11.00  0.00 17.00  0.00 18.00  0.00 58.44 
4  10.00  0.00 11.00  0.00 18.00  0.00 19.00  0.00 55.19 
4  10.00  0.00 11.00  0.00 19.00  0.00 20.00  0.00 64.66 
4  10.00  0.00 11.00  0.00 20.00  0.00 21.00  0.00 74.36 
4  11.00  0.00 12.00  0.00 13.00  0.00 14.00  0.00 101.17 
4  11.00  0.00 12.00  0.00 14.00  0.00 15.00  0.00 59.88 
4  11.00  0.00 12.00  0.00 15.00  0.00 16.00  0.00 49.72 
4  11.00  0.00 12.00  0.00 16.00  0.00 17.00  0.00 53.30 
4  11.00  0.00 12.00  0.00 17.00  0.00 18.00  0.00 51.81 
4  11.00  0.00 12.00  0.00 18.00  0.00 19.00  0.00 60.52 
4  11.00  0.00 12.00  0.00 19.00  0.00 20.00  0.00 53.85 
4  11.00  0.00 12.00  0.00 20.00  0.00 21.00  0.00 47.08 
4  11.00  0.00 12.00  0.00 21.00  0.00 22.00  0.00 46.23 
4  12.00  0.00 13.00  0.00 14.00  0.00 15.00  0.00 98.62 
4  12.00  0.00 13.00  0.00 15.00  0.00 16.00  0.00 59.81 
4  12.00  0.00 13.00  0.00 16.00  0.00 17.00  0.00 51.30 
4  12.00  0.00 13.00  0.00 17.00  0.00 18.00  0.00 51.25 
4  12.00  0.00 13.00  0.00 18.00  0.00 19.00  0.00 57.40 
4  12.00  0.00 13.00  0.00 19.00  0.00 20.00  0.00 56.42 
4  12.00  0.00 13.00  0.00 20.00  0.00 21.00  0.00 51.72 
