mcline5.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
153
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 131.39 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 121.89 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 101.79 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 85.64 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 81.55 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 80.98 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 71.87 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 75.04 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 54.96 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 135.15 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 110.81 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 87.16 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 80.79 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 78.36 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 73.77 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 61.14 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 63.34 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 57.54 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 126.82 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 92.23 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 80.82 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 76.96 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 70.62 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 58.93 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 53.86 
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 52.17 
4  2.00  0.00 3.00  0.00 12.00  0.00 13.00  0.00 124.43 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 114.70 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 89.20 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 80.94 
4  3.00  0.00 4.00  0.00 8.00  0.00 9.00  0.00 70.61 
4  3.00  0.00 4.00  0.00 9.00  0.00 10.00  0.00 58.76 
4  3.00  0.00 4.00  0.00 10.00  0.00 11.00  0.00 54.27 
4  3.00  0.00 4.00  0.00 11.00  0.00 12.00  0.00 53.60 
4  3.00  0.00 4.00  0.00 12.00  0.00 13.00  0.00 199.42 
