mcline6.bin
         1.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
153
 2
0
4  0.00  0.00 1.00  0.00 2.00  0.00 3.00  0.00 124.80 
4  0.00  0.00 1.00  0.00 3.00  0.00 4.00  0.00 100.17 
4  0.00  0.00 1.00  0.00 4.00  0.00 5.00  0.00 81.75 
4  0.00  0.00 1.00  0.00 5.00  0.00 6.00  0.00 76.22 
4  0.00  0.00 1.00  0.00 6.00  0.00 7.00  0.00 19.83 
4  0.00  0.00 1.00  0.00 7.00  0.00 8.00  0.00 950.06 
4  0.00  0.00 1.00  0.00 8.00  0.00 9.00  0.00 64.21 
4  0.00  0.00 1.00  0.00 9.00  0.00 10.00  0.00 56.21 
4  0.00  0.00 1.00  0.00 10.00  0.00 11.00  0.00 74.60 
4  1.00  0.00 2.00  0.00 3.00  0.00 4.00  0.00 127.34 
4  1.00  0.00 2.00  0.00 4.00  0.00 5.00  0.00 100.08 
4  1.00  0.00 2.00  0.00 5.00  0.00 6.00  0.00 81.40 
4  1.00  0.00 2.00  0.00 6.00  0.00 7.00  0.00 128.20 
4  1.00  0.00 2.00  0.00 7.00  0.00 8.00  0.00 586.42 
4  1.00  0.00 2.00  0.00 8.00  0.00 9.00  0.00 57.23 
4  1.00  0.00 2.00  0.00 9.00  0.00 10.00  0.00 53.59 
4  1.00  0.00 2.00  0.00 10.00  0.00 11.00  0.00 62.57 
4  1.00  0.00 2.00  0.00 11.00  0.00 12.00  0.00 59.92 
4  2.00  0.00 3.00  0.00 4.00  0.00 5.00  0.00 145.31 
4  2.00  0.00 3.00  0.00 5.00  0.00 6.00  0.00 116.08 
4  2.00  0.00 3.00  0.00 6.00  0.00 7.00  0.00 104.08 
4  2.00  0.00 3.00  0.00 7.00  0.00 8.00  0.00 1230.98 
4  2.00  0.00 3.00  0.00 8.00  0.00 9.00  0.00 64.28 
4  2.00  0.00 3.00  0.00 9.00  0.00 10.00  0.00 52.41 
4  2.00  0.00 3.00  0.00 10.00  0.00 11.00  0.00 56.74 
4  2.00  0.00 3.00  0.00 11.00  0.00 12.00  0.00 61.85 
4  2.00  0.00 3.00  0.00 12.00  0.00 13.00  0.00 65.42 
4  3.00  0.00 4.00  0.00 5.00  0.00 6.00  0.00 146.95 
4  3.00  0.00 4.00  0.00 6.00  0.00 7.00  0.00 56.98 
4  3.00  0.00 4.00  0.00 7.00  0.00 8.00  0.00 171.91 
4  3.00  0.00 4.00  0.00 8.00  0.00 9.00  0.00 70.00 
4  3.00  0.00 4.00  0.00 9.00  0.00 10.00  0.00 49.28 
4  3.00  0.00 4.00  0.00 10.00  0.00 11.00  0.00 42.83 
4  3.00  0.00 4.00  0.00 11.00  0.00 12.00  0.00 60.80 
4  3.00  0.00 4.00  0.00 12.00  0.00 13.00  0.00 66.32 
4  3.00  0.00 4.00  0.00 13.00  0.00 14.00  0.00 61.42 
4  4.00  0.00 5.00  0.00 6.00  0.00 7.00  0.00 60.88 
4  4.00  0.00 5.00  0.00 7.00  0.00 8.00  0.00 17.88 
4  4.00  0.00 5.00  0.00 8.00  0.00 9.00  0.00 82.80 
4  4.00  0.00 5.00  0.00 9.00  0.00 10.00  0.00 53.80 
4  4.00  0.00 5.00  0.00 10.00  0.00 11.00  0.00 49.64 
4  4.00  0.00 5.00  0.00 11.00  0.00 12.00  0.00 51.99 
4  4.00  0.00 5.00  0.00 12.00  0.00 13.00  0.00 60.70 
4  4.00  0.00 5.00  0.00 13.00  0.00 14.00  0.00 58.10 
4  4.00  0.00 5.00  0.00 14.00  0.00 15.00  0.00 69.89 
4  5.00  0.00 6.00  0.00 7.00  0.00 8.00  0.00 112.55 
4  5.00  0.00 6.00  0.00 8.00  0.00 9.00  0.00 119.17 
4  5.00  0.00 6.00  0.00 9.00  0.00 10.00  0.00 69.69 
4  5.00  0.00 6.00  0.00 10.00  0.00 11.00  0.00 55.75 
4  5.00  0.00 6.00  0.00 11.00  0.00 12.00  0.00 51.13 
4  5.00  0.00 6.00  0.00 12.00  0.00 13.00  0.00 56.81 
4  5.00  0.00 6.00  0.00 13.00  0.00 14.00  0.00 57.43 
4  5.00  0.00 6.00  0.00 14.00  0.00 15.00  0.00 69.93 
4  5.00  0.00 6.00  0.00 15.00  0.00 16.00  0.00 94.49 
4  6.00  0.00 7.00  0.00 8.00  0.00 9.00  0.00 152.62 
4  6.00  0.00 7.00  0.00 9.00  0.00 10.00  0.00 85.90 
4  6.00  0.00 7.00  0.00 10.00  0.00 11.00  0.00 60.98 
4  6.00  0.00 7.00  0.00 11.00  0.00 12.00  0.00 48.22 
4  6.00  0.00 7.00  0.00 12.00  0.00 13.00  0.00 52.28 
4  6.00  0.00 7.00  0.00 13.00  0.00 14.00  0.00 46.98 
4  6.00  0.00 7.00  0.00 14.00  0.00 15.00  0.00 71.65 
4  6.00  0.00 7.00  0.00 15.00  0.00 16.00  0.00 80.14 
