x,y,z
1,,153.168
2,,153.213
3,,153.234
4,,153.264
5,,153.278
6,,153.29
7,,153.325
8,,153.312
9,,153.359
10,,153.331
11,,153.338
12,,153.357
13,,153.323
14,,153.329
15,,153.315
16,,153.308
17,,153.303
18,,153.303
19,,153.284
20,,153.285
21,,153.259
22,,153.237
23,,153.201
24,,153.164
