x,y,z
1,,153.209
2,,153.273
3,,153.276
4,,153.31
5,,153.318
6,,153.321
7,,153.344
8,,153.346
9,,153.362
10,,153.367
11,,153.365
12,,153.362
13,,153.354
14,,153.352
15,,153.356
16,,153.325
17,,153.324
18,,153.329
19,,153.306
20,,153.279
21,,153.253
22,,153.228
23,,153.218
24,,153.177
