x,y,z
1,,153.096
2,,153.135
3,,153.191
4,,153.215
5,,153.24
6,,153.27
7,,153.27
8,,153.294
9,,153.314
10,,153.332
11,,153.323
12,,153.364
13,,153.323
14,,153.324
15,,153.324
16,,153.306
17,,153.302
18,,153.282
19,,153.266
20,,153.241
21,,153.209
22,,153.187
23,,153.152
24,,153.075
