x,y,z
1,,153.198
2,,153.239
3,,153.259
4,,153.27
5,,153.282
6,,153.301
7,,153.356
8,,153.361
9,,153.372
10,,153.393
11,,153.391
12,,153.418
13,,153.414
14,,153.405
15,,153.397
16,,153.371
17,,153.344
18,,153.34
19,,153.37
20,,153.359
21,,153.295
22,,153.268
23,,153.235
24,,153.238
