x,y,z
1,,153.065
2,,153.07
3,,153.129
4,,153.188
5,,153.21
6,,153.248
7,,153.265
8,,153.277
9,,153.274
10,,153.272
11,,153.278
12,,153.288
13,,153.255
14,,153.234
15,,153.225
16,,153.21
17,,153.218
18,,153.182
19,,153.143
20,,153.097
21,,153.063
22,,153.008
23,,152.955
24,,152.887
